UID,Type,Items
478902bf,إيرادات,الكوماندا
2ad8d0ec,إيرادات,البيت
ed658257,دعم,الكوماندا
2793061e,سلفة,نقدي
00de4062,قبض,نقدي
34345790,مشتريات,ورق
f3ead779,مشتريات,فايلات
19b7bcba,مشتريات,احبار (EPSON)
d0bedd11,مصروفات,فكة
8a0941a1,مصروفات,باقي زبون
4bb97ad2,مصروفات,اخرى
45ec61e8,مصروفات,شحن كهرباء ماسبيرو
40ab1c55,مصروفات,شحن انترنت ماسبيرو
d6adb76a,مصروفات,صيانة (كيوسيرا)
66668d45,مصروفات,زبالة
893a196d,مصروفات,ATM
9d8ad803,مصروفات,تامينات ماسبيرو
159ca62e,مصروفات,استضافة
,,
c0a21288,مشتريات,احبار(كيوسيرا)
bc58302d,دعم,فكة
1162b3d0,إيرادات,فكة
ee211324,دعم,فوري كاش اوت
fec22b4e,إيرادات,اخرى
8c86e5ba,مصروفات,سداد ارضي ماسبيرو
cceac266,مصروفات,صيانة اجهزة
b14cc846,إيرادات,نقدي فوري
1132dacc,إيرادات,نقدي بساطة
734e35fa,دعم,اخرى
698936be,مصروفات,صيانة (EPSON)
33cd57d1,مصروفات,نظافة
