Uid,Viewname,BackName,Main_Type,Viewlink,image,From Dorg,To Dorg,Amount
kdgnk,💰 سلفة,سلفة,مصروفات,,Expenses Pages_Images/kdgnk.image.202618.jpg,,,
jklsnfjn,💵 قبض,قبض,مصروفات,,Expenses Pages_Images/jklsnfjn.image.202635.jpg,,,
sgce74n,📉 مصروفات,مصروفات,مصروفات,,Expenses Pages_Images/sgce74n.image.202659.png,,,
jfvifcd544,💸 دعم مالي,دعم,مصروفات,,Expenses Pages_Images/jfvifcd544.image.202728.png,,,
jfvifcd545,🛒 مشتريات,مشتريات,مصروفات,,,,,
jlsdhfuk,📈 إيرادات,إيرادات,إيرادات,,Expenses Pages_Images/jlsdhfuk.image.202648.png,,,
xxsedtk,🔄 تحويل كاشير,تحويل,تحويلات,,,,,0
jebfkj,🕓 طلب إذن,إذن,إجازات,,Expenses Pages_Images/jebfkj.image.030509.png,,,
nljern251,🏖️ طلب إجازة,إجازة,إجازات,,Expenses Pages_Images/nljern.image.030520.png,,,
nljern252,🎁 مكافأة,مكافأة,حوافز وخصومات,,,,,
nljern253,❌ خصم,خصم,حوافز وخصومات,,,,,
