Uid,Viewname,Main_Type,Viewlink,image
jlsdhfuk,💼 الشفتات,العمليات,All Shifts,
xxsedtk,💻 الخدمات,العمليات,All ServiceEntry,
jebfkj,💳 عمليات الشحن,العمليات,All WalletTransactions,
nljern251,🚆 حجوزات السفر,العمليات,All TrainTicketBooking,
nljern252,📆 الماليات (الشهر),التقارير,All Expenses,
knnlmc,🗂️ الماليات (التصنيف),التقارير,Expenses Report,
jjnlfmd,📁 قائمة الماليات,القوائم,Items List,
nljern253,🔄 تحويل كاشير,العمليات,Manager Casher Transfer,
nljern254,🧾 الفواتير,التقارير,Invoices Log,
450233d5,🎯 الحوافز والخصومات,المراجعات,Employee HR,
sgce74n,🤝 التسليم والتسلم,المراجعات,Receipt Confirm,
4b908340,🏧 المحافظ والمكن,القوائم,Manager Wallets,
51d2cb07,📋 قائمة الخدمات,القوائم,Manager Services,
kdgnk,📊 تقارير الموظفين,التقارير,Reports,
4b9083,📈 تقرير الماليات,التقارير,Financial Report,
jdmslsk,👥 قائمة الأعضاء,القوائم,Member list,
dknfkld,📝 الملاحظات,العمليات,Notes,
jndfkfm,💰 تقارير الكاشير,التقارير,Filter Page,
