Service_Id,Service_Name,Is_Commissionable,Commission_Percent,Description,Sort
new001,طباعة أسود,بدون عمولة,0%,,1
new002,طباعة ألوان,بدون عمولة,0%,,2
new003,سكانر,بدون عمولة,0%,,4
new004,إرسال واستقبال الفاكس,بدون عمولة,0%,,7
new005,ترجمة معتمدة,بدون عمولة,0%,,6
new006,نسخ CD,بدون عمولة,0%,,5
new008,حجز أجهزة,بدون عمولة,0%,,3
new009,اخرى,بدون عمولة,0%,,8
new010,كتابة,عمولة,20%,,2
new011,ابحاث,عمولة,20%,,4
new016,صيانة موبايل,عمولة,30%,,8
new017,صيانة كمبيوتر,عمولة,30%,,9
new019,خدمات أونلاين,عمولة,20%,,1
