Notes_ID,Date,Month,Title,Notes,Color
36c75c79,12/28/2025,2025 12,ايبسون Ebson,"من ابرام
تم شراء ايبسون (A4)
11-2024=22000

تم شراء ايبسون (A3)
11-5-2026=45000
عداد=33918
اسود=10942
الوان=22976",
fa0d4c03,12/28/2025,2025 12,شارب Sharp,"تم تبديل الشارب بمكنة جديدة بدون سداد اي شىء خلاف أجرة التروسيكل 250ج
 بتاريخ:
20-12-2025
عداد اسود=421761
عداد الوان=548476
اجمالي=970252

تم رفع المكنة بتاريخ 10-5-2026 لكثرة المشاكل
عداد اسود=492394
عداد الوان=565713
اجمالي=1058122",
,,,,,
35855984,12/27/2025,2025 12,اسعار مشتريات الحباك,"(مشتريات الحباك)
دباسة كبيرة=845ج
فايلات=140ج...1.30
حافظة كبسولة عادية=38ج...3.16
حافظة كبسولة متوسطة=48ج...3.75
حافظة كبسولة ممتاز=54ج...4.50
جلوسي200جرام=45ج...2.25
جلوسي230جرام=50ج...2.50
ستيكر ايبسون 135جرام=59ج...2.95
cd=345ج
dvd=395ج",
42cec4ee,12/30/2025,2025 12,اسعار الورق,"80جرام
A4=140
A3=290

**************
75جرام
A4=125",
ec909404,12/30/2025,2025 12,اسعار حبر كيوسيرا,كيس حبر=300ج,
,,,,,
f68c3957,1/1/2026,2026 1,رصيد اول واخر المدة,"رصيد اول المدة(تقريبي): 12-2025= -10669
رصيد اخر المدة: 12-2025=14390
------------------------------------------------------
رصيد اول المدة: 1-2026=14390
رصيد اخر المدة: 1-2026=13460
------------------------------------------------------
رصيد اول المدة:2-2026=13460
رصيد اخر المدة:2-2026=10888
------------------------------------------------------
رصيد اول المدة:3-2026=10888
رصيد اخر المدة:3-2026=7697
------------------------------------------------------
بدون مكن فوري او بساطة
رصيد اول المدة:4-2026=7697
رصيد اخر المدة:4-2026=5605
------------------------------------------------------
رصيد اول المدة:5-2026=5605
رصيد اخر المدة:5-2026=5760
------------------------------------------------------
رصيد اول المدة:6-2026=5760
رصيد اخر المدة:6-2026=2818
------------------------------------------------------
رصيد اول المدة:7-2026=2818
رصيد اخر المدة:7-2026=1300
------------------------------------------------------
رصيد اول المدة:8-2026=1300
رصيد اخر المدة:8-2026",
48592ed8,2/12/2026,2026 2,عداد ورق البرنترات,"كيوسيرا2 31-1-2026=526348
كيوسيرا3 31-1-2026=953504
شارب 31-1-2026=1012599
ايبسون صغيرة 31-1-2026=316309
----------------------------------------------------
كيوسيرا2 30-4-2026=588100
كيوسيرا3 30-4-2026=999031
شارب 30-4-2026=1053096
ايبسون صغيرة 30-4-2026=361209
----------------------------------------------------
كيوسيرا2 30-6-2026=630897
كيوسيرا3 30-6-2026=1032197
ايبسون صغيرة 30-6-2026=392904
ايبسون الكبيرة 30-6-2026=63876
----------------------------------------------------
كيوسيرا2 31-7-2026=640846
كيوسيرا3 31-7-2026=1039919
ايبسون صغيرة 31-7-2026=405408
ايبسون الكبيرة 31-7-2026=79692
----------------------------------------------------",
f492ef7a,2/27/2026,2026 2,عداد الايبسون,"20-2-2026
العداد=327503

27-2-2026
العداد=331390

30-4-2026
العداد=361209",
88744280,5/22/2026,2026 5,ip,"Laser = 38
1 = 37
2 = 135
3 = 39
EBSON A4 = 114
Ebson A3 = 222
Casher = 87",
