Calculate_id,Employee_Id,Sum,Values,Number Value,Actions
cc65568e,0154dfaa,المجموع,5000,5000,
606a8bb6,0154dfaa,المجموع,650,650,
fc8f8247,0154dfaa,المجموع,200,200,
8aaeb666,0154dfaa,المجموع,90,90,
d1ef624f,0154dfaa,المجموع,5,5,
f37ac73f,0154dfaa,المجموع,,,
75d2bd7c,0154dfaa,المجموع,,,
03f9272a,0154dfaa,المجموع,,,
5bccce31,0154dfaa,المجموع,,,
e11036bc,0154dfaa,المجموع,,,
f41c4098,0154dfaa,المجموع,,,
fe10225f,0154dfaa,المجموع,,,
d99566d1,0154dfaa,المجموع,,,
1c79afc4,04b9d4de,المجموع,,,
ee54faef,04b9d4de,المجموع,,,
25b63f1a,04b9d4de,المجموع,,,
251c4723,04b9d4de,المجموع,,,
cede6bb2,04b9d4de,المجموع,,,
962e3ed2,04b9d4de,المجموع,,,
98ff0ab9,04b9d4de,المجموع,,,
5afac7a1,04b9d4de,المجموع,,,
22052bf1,04b9d4de,المجموع,,,
be825def,04b9d4de,المجموع,,,
0493d868,04b9d4de,المجموع,,,
fa2b1275,04b9d4de,المجموع,,,
d236a5a4,04b9d4de,المجموع,,,
bd8d5a10,04b9d4de,المجموع,,,
edc1ae6e,04b9d4de,المجموع,,,
a34b0cac,36fa3ef0,المجموع,,,
5656034b,36fa3ef0,المجموع,,,
d1aa7c80,36fa3ef0,المجموع,,,
a8d3104d,36fa3ef0,المجموع,,,
a93120c0,36fa3ef0,المجموع,,,
12448a0f,36fa3ef0,المجموع,,,
4deddd1f,36fa3ef0,المجموع,,,
3158622d,36fa3ef0,المجموع,,,
e1ab6379,36fa3ef0,المجموع,,,
ee5314e8,36fa3ef0,المجموع,,,
492bf361,36fa3ef0,المجموع,,,
cd64e79c,4ac7873c,المجموع,25,25,
0d3c92cf,4ac7873c,المجموع,10,10,
2598cc84,4ac7873c,المجموع,15600,15600,
e23f6df4,4ac7873c,المجموع,,,
772cf122,4ac7873c,المجموع,,,
521c34f9,4ac7873c,المجموع,,,
8a5bc94f,4ac7873c,المجموع,,,
459858d4,4ac7873c,المجموع,,,
73a7e49d,4ac7873c,المجموع,,,
1d880d1d,4ac7873c,المجموع,,,
9ef93ff9,75baaa2d,المجموع,,,
ad3ab31d,75baaa2d,المجموع,,,
b186e46e,75baaa2d,المجموع,,,
9de1a436,75baaa2d,المجموع,,,
192a884d,75baaa2d,المجموع,,,
c9c3d96d,75baaa2d,المجموع,,,
af98fb5d,75baaa2d,المجموع,,,
786e08bc,75baaa2d,المجموع,,,
b13b00da,75baaa2d,المجموع,,,
610329fb,75baaa2d,المجموع,,,
8357baf3,d7fc6ce3,المجموع,500,500,
e3075716,d7fc6ce3,المجموع,440,440,
518abbb2,d7fc6ce3,المجموع,6600,6600,
1825d534,d7fc6ce3,المجموع,,,
0a1a8582,d7fc6ce3,المجموع,,,
e6cfd193,d7fc6ce3,المجموع,,,
50ac0406,d7fc6ce3,المجموع,,,
9db271d2,d7fc6ce3,المجموع,,,
abbaa202,d7fc6ce3,المجموع,,,
c5893a14,d7fc6ce3,المجموع,,,
66c945251,fdjnfl,المجموع,,,
d6c3f020,fdjnfl,المجموع,,,
d12e5d66,fdjnfl,المجموع,,,
b913fb8d,fdjnfl,المجموع,,,
9d944d6e,fdjnfl,المجموع,,,
1e0fc295,fdjnfl,المجموع,,,
7b18a176,fdjnfl,المجموع,,,
fb49faa6,fdjnfl,المجموع,,,
c45d5498,fdjnfl,المجموع,,,
623f4f2f,fdjnfl,المجموع,,,
f745653d,fdjnfl,المجموع,,,
1bf1f829,fdjnfl,المجموع,,,
ee2315e9,36fa3ef0,المجموع,,,
dc3efd90,053701af,المجموع,,,
40e46c74,053701af,المجموع,,,
d2995cd6,053701af,المجموع,,,
d7936292,053701af,المجموع,,,
cc5497bd,053701af,المجموع,,,
0b30fd7c,053701af,المجموع,,,
11643a50,053701af,المجموع,,,
d1060c08,053701af,المجموع,,,
31d54174,053701af,المجموع,,,
af106f25,053701af,المجموع,,,
9b47c793,f7f8d8a0,المجموع,,,
93c2f5d4,f7f8d8a0,المجموع,,,
bd3a24f3,f7f8d8a0,المجموع,,,
76d2aebe,f7f8d8a0,المجموع,,,
c9749adc,f7f8d8a0,المجموع,,,
789ac73c,f7f8d8a0,المجموع,,,
905311cb,4ac7873c,المجموع,,,
e83a6936,f7f8d8a0,المجموع,,,
d85f5333,898171f0,المجموع,,,
6d258454,898171f0,المجموع,,,
b9a92055,898171f0,المجموع,,,
a74cce41,898171f0,المجموع,,,
bc550d48,898171f0,المجموع,,,
b8416309,898171f0,المجموع,,,
f0196b1a,898171f0,المجموع,,,
2a84615e,898171f0,المجموع,,,
aa6e54ec,898171f0,المجموع,,,
e88f4765,898171f0,المجموع,,,
5086a8a7,e9ad5415,المجموع,,,
302700bd,e9ad5415,المجموع,,,
1c1ebfa0,e9ad5415,المجموع,,,
26af28d0,e9ad5415,المجموع,,,
a92e291d,e9ad5415,المجموع,,,
975e6dcb,e9ad5415,المجموع,,,
a5639723,e9ad5415,المجموع,,,
18ddb516,e9ad5415,المجموع,,,
ce010895,e9ad5415,المجموع,,,
82c77ef2,e9ad5415,المجموع,,,
